Date,Remarks,SSC_Conc
3/16/74,,58
3/17/74,,60
3/18/74,,52
3/19/74,,50
3/20/74,,65
3/21/74,,55
3/26/74,,54
3/27/74,,99
3/28/74,,82
3/29/74,,71
3/30/74,,94
3/31/74,,75
4/1/74,,99
4/2/74,,78
4/3/74,,121
4/4/74,,93
4/5/74,,99
4/6/74,,108
4/7/74,,91
4/8/74,,89
4/9/74,,74
4/10/74,,82
4/11/74,,77
4/11/74,,81
4/12/74,,80
4/13/74,,76
4/14/74,,80
4/15/74,,76
4/16/74,,93
4/17/74,,82
4/18/74,,91
4/19/74,,76
4/20/74,,65
4/21/74,,82
4/22/74,,91
4/23/74,,77
4/24/74,,102
4/25/74,,92
4/26/74,,92
4/27/74,,91
4/28/74,,113
4/29/74,,99
4/30/74,,91
5/1/74,,82
5/2/74,,97
5/3/74,,87
5/4/74,,87
5/5/74,,90
5/6/74,,84
5/7/74,,83
5/8/74,,95
5/9/74,,81
5/10/74,,108
5/11/74,,102
5/12/74,,98
5/13/74,,94
5/14/74,,89
5/15/74,,89
5/16/74,,97
5/17/74,,95
5/18/74,,81
5/19/74,,74
5/20/74,,73
5/21/74,,76
5/22/74,,100
5/23/74,,140
5/24/74,,126
5/25/74,,115
5/26/74,,112
5/27/74,,113
5/28/74,,112
5/29/74,,143
5/30/74,,108
5/31/74,,133
6/1/74,,110
6/2/74,,96
6/3/74,,99
6/4/74,,90
6/5/74,,78
6/6/74,,76
6/7/74,,90
6/8/74,,82
6/9/74,,84
6/10/74,,94
6/11/74,,93
6/12/74,,148
6/12/74,,88
6/13/74,,153
6/14/74,,119
6/15/74,,128
6/16/74,,115
6/17/74,,104
6/18/74,,91
6/18/74,,83
6/19/74,,84
6/19/74,,88
6/20/74,,99
6/21/74,,104
6/22/74,,116
6/23/74,,108
6/24/74,,117
6/25/74,,99
6/26/74,,93
6/27/74,,104
6/28/74,,113
6/29/74,,134
6/30/74,,151
7/1/74,,147
7/2/74,,158
7/3/74,,166
7/4/74,,154
7/5/74,,174
7/6/74,,161
7/7/74,,149
7/8/74,,147
7/9/74,,153
7/10/74,,149
7/11/74,,107
7/12/74,,124
7/13/74,,129
7/14/74,,140
7/15/74,,140
7/16/74,,156
7/17/74,,160
7/18/74,,166
7/19/74,,146
7/20/74,,174
7/21/74,,190
7/22/74,,192
7/23/74,,188
7/24/74,,177
7/25/74,,172
7/26/74,,193
7/27/74,,199
7/28/74,,181
7/29/74,,185
7/30/74,,182
7/31/74,,151
8/1/74,,156
8/2/74,,163
8/3/74,,151
8/4/74,,166
8/5/74,,171
8/5/74,,157
8/6/74,,178
8/7/74,,157
8/8/74,,164
8/9/74,,173
8/10/74,,172
8/11/74,,151
8/12/74,,173
8/13/74,,171
8/14/74,,160
8/15/74,,191
8/16/74,,182
8/17/74,,149
8/18/74,,163
8/19/74,,160
8/20/74,,145
8/21/74,,131
8/22/74,,112
8/23/74,,137
8/24/74,,140
8/25/74,,132
8/26/74,,128
8/27/74,,114
8/28/74,,117
8/29/74,,106
8/30/74,,96
8/31/74,,99
9/1/74,,94
9/2/74,,101
9/3/74,,91
9/4/74,,102
9/5/74,,97
9/6/74,,101
9/7/74,,101
9/8/74,,96
9/9/74,,97
9/10/74,,91
9/10/74,,93
9/11/74,,90
9/12/74,,86
9/13/74,,89
9/14/74,,79
9/15/74,,76
9/16/74,,75
9/17/74,,71
9/18/74,,97
9/19/74,,100
9/20/74,,121
9/21/74,,97
9/22/74,,89
9/23/74,,93
9/24/74,,78
9/25/74,,83
9/26/74,,78
9/27/74,,65
9/28/74,,67
9/29/74,,66
9/30/74,,86
10/1/74,,80
10/2/74,,82
10/3/74,,74
10/4/74,,79
10/5/74,,90
10/6/74,,79
10/7/74,,79
10/8/74,,71
10/8/74,,67
10/9/74,,75
10/9/74,,55
10/10/74,,66
10/11/74,,66
10/12/74,,79
10/13/74,,78
10/14/74,,82
10/15/74,,76
10/16/74,,86
10/17/74,,92
10/18/74,,66
10/19/74,,62
10/20/74,,64
10/21/74,,66
10/22/74,,64
10/23/74,,74
10/24/74,,91
10/25/74,,96
10/26/74,,86
10/27/74,,70
10/28/74,,72
10/29/74,,70
10/30/74,,82
10/31/74,,77
11/1/74,,68
11/2/74,,70
11/3/74,,78
11/4/74,,84
11/5/74,,80
11/6/74,,68
11/7/74,,65
11/8/74,,66
11/9/74,,68
11/10/74,,61
11/11/74,,64
11/12/74,,64
11/13/74,,64
11/14/74,,70
11/15/74,,74
11/16/74,,67
11/17/74,,63
11/18/74,,74
11/19/74,,61
11/20/74,,62
11/21/74,,64
11/22/74,,63
11/23/74,,57
11/24/74,,54
11/25/74,,53
11/26/74,,60
11/27/74,,66
11/28/74,,56
11/29/74,,54
11/30/74,,58
12/1/74,,51
12/2/74,,54
12/3/74,,70
12/4/74,,73
12/5/74,,78
12/5/74,,63
12/6/74,,74
12/7/74,,76
12/8/74,,66
12/9/74,,69
12/10/74,,54
12/11/74,,60
12/12/74,,58
12/13/74,,52
12/14/74,,58
12/15/74,,50
12/16/74,,56
12/17/74,,54
12/18/74,,49
12/19/74,,42
12/20/74,,51
12/21/74,,45
12/22/74,,44
12/23/74,,40
12/24/74,,30
12/25/74,,37
12/26/74,,40
12/27/74,,38
12/28/74,,60
12/29/74,,56
12/30/74,,44
12/31/74,,32
1/1/75,,52
1/2/75,,41
1/3/75,,28
1/4/75,,60
1/5/75,,62
1/6/75,,53
1/7/75,,36
1/8/75,,60
1/9/75,,66
1/9/75,,42
1/10/75,,54
1/11/75,,52
1/12/75,,48
1/13/75,,51
1/14/75,,38
1/15/75,,60
1/16/75,,56
1/17/75,,55
1/18/75,,52
1/19/75,,58
1/20/75,,39
1/21/75,,40
1/22/75,,57
1/23/75,,63
1/24/75,,64
1/25/75,,62
1/26/75,,60
1/27/75,,46
1/28/75,,44
1/29/75,,55
1/30/75,,48
1/31/75,,64
2/1/75,,68
2/2/75,,81
2/3/75,,84
2/3/75,,67
2/4/75,,76
2/5/75,,126
2/6/75,,165
2/7/75,,156
2/8/75,,152
2/9/75,,128
2/10/75,,108
2/11/75,,109
2/12/75,,114
2/13/75,,106
2/14/75,,109
2/15/75,,154
2/16/75,,120
2/17/75,,98
2/18/75,,94
2/19/75,,92
2/20/75,,76
2/21/75,,80
2/22/75,,70
2/23/75,,59
2/24/75,,66
2/25/75,,63
2/26/75,,83
2/27/75,,63
2/28/75,,58
3/1/75,,56
3/2/75,,59
3/3/75,,61
3/3/75,,44
3/4/75,,54
3/5/75,,68
3/6/75,,68
3/7/75,,86
3/8/75,,93
3/9/75,,104
3/10/75,,121
3/11/75,,102
3/12/75,,80
3/13/75,,86
3/14/75,,100
3/15/75,,109
3/16/75,,96
3/17/75,,81
3/18/75,,82
3/19/75,,88
3/20/75,,94
3/21/75,,78
3/22/75,,76
3/23/75,,83
3/24/75,,94
3/25/75,,83
3/26/75,,146
3/27/75,,120
3/28/75,,88
3/29/75,,90
3/30/75,,100
3/31/75,,101
4/1/75,,98
4/1/75,,77
4/2/75,,84
4/3/75,,70
4/4/75,,74
4/5/75,,84
4/6/75,,108
4/7/75,,80
4/8/75,,80
4/9/75,,92
4/10/75,,90
4/11/75,,81
4/12/75,,84
4/13/75,,80
4/14/75,,83
4/15/75,,76
4/16/75,,74
4/17/75,,71
4/18/75,,95
4/19/75,,100
4/20/75,,95
4/21/75,,84
4/22/75,,91
4/23/75,,102
4/24/75,,94
4/25/75,,100
4/26/75,,128
4/27/75,,84
4/28/75,,90
4/29/75,,108
4/30/75,,100
5/1/75,,102
5/1/75,,77
5/2/75,,110
5/3/75,,121
5/4/75,,138
5/5/75,,138
5/6/75,,108
5/7/75,,114
5/8/75,,102
5/9/75,,92
5/10/75,,140
5/11/75,,92
5/12/75,,98
5/13/75,,94
5/14/75,,99
5/15/75,,111
5/16/75,,100
5/17/75,,106
5/18/75,,161
5/19/75,,104
5/20/75,,104
5/21/75,,122
5/22/75,,118
5/23/75,,120
5/24/75,,100
5/25/75,,102
5/26/75,,121
5/27/75,,114
5/28/75,,114
5/29/75,,100
5/30/75,,100
5/31/75,,114
6/1/75,,120
6/2/75,,140
6/3/75,,182
6/4/75,,190
6/5/75,,135
6/5/75,,112
6/6/75,,144
6/7/75,,182
6/8/75,,153
6/9/75,,134
6/10/75,,140
6/11/75,,121
6/12/75,,144
6/13/75,,165
6/14/75,,180
6/15/75,,157
6/16/75,,169
6/17/75,,149
6/18/75,,108
6/19/75,,121
6/20/75,,118
6/21/75,,176
6/22/75,,168
6/23/75,,156
6/24/75,,198
6/25/75,,154
6/26/75,,156
6/27/75,,149
6/28/75,,166
6/29/75,,172
6/30/75,,209
7/1/75,,159
7/1/75,,125
7/2/75,,176
7/3/75,,222
7/4/75,,166
7/5/75,,155
7/6/75,,162
7/7/75,,144
7/8/75,,143
7/9/75,,156
7/10/75,,162
7/11/75,,152
7/12/75,,167
7/13/75,,168
7/14/75,,173
7/15/75,,176
7/16/75,,168
7/17/75,,186
7/18/75,,186
7/19/75,,193
7/20/75,,191
7/21/75,,174
7/22/75,,164
7/23/75,,166
7/24/75,,200
7/25/75,,202
7/26/75,,196
7/27/75,,196
7/28/75,,163
7/29/75,,200
7/30/75,,198
7/31/75,,195
